object,replicate_number,replicate_value
"CorrApplCostAbilityHighB",1,.5715708
"CorrApplCostAbilityHighB",2,.5715708
"CorrApplCostAbilityHighB",3,.57747
"CorrApplCostAbilityHighB",4,.5291736
"CorrApplCostAbilityHighB",5,.5887741
"CorrApplCostAbilityHighB",6,.580918
"CorrApplCostAbilityHighB",7,.6153101
"CorrApplCostAbilityHighB",8,.5929409
"CorrApplCostAbilityHighB",9,.5989733
"CorrApplCostAbilityHighB",10,.6007427
"CorrApplCostAbilityHighB",11,.5486133
"CorrApplCostAbilityHighB",12,.5679156
"CorrApplCostAbilityHighB",13,.6038144
"CorrApplCostAbilityHighB",14,.5806879
"CorrApplCostAbilityHighB",15,.6066248
"CorrApplCostAbilityHighB",16,.5538815
"CorrApplCostAbilityHighB",17,.6131155
"CorrApplCostAbilityHighB",18,.5851758
"CorrApplCostAbilityHighB",19,.541723
"CorrApplCostAbilityHighB",20,.627653
"CorrApplCostAbilityHighB",21,.615276
"CorrApplCostAbilityHighB",22,.5584862
"CorrApplCostAbilityHighB",23,.5287452
"CorrApplCostAbilityHighB",24,.5595747
"CorrApplCostAbilityHighB",25,.5808108
"CorrApplCostAbilityHighB",26,.5466396
"CorrApplCostAbilityHighB",27,.5897976
"CorrApplCostAbilityHighB",28,.5722975
"CorrApplCostAbilityHighB",29,.56774
"CorrApplCostAbilityHighB",30,.5723476
"CorrApplCostAbilityHighB",31,.6125627
"CorrApplCostAbilityHighB",32,.5847453
"CorrApplCostAbilityHighB",33,.5907829
"CorrApplCostAbilityHighB",34,.5877498
"CorrApplCostAbilityHighB",35,.5927254
"CorrApplCostAbilityHighB",36,.577776
"CorrApplCostAbilityHighB",37,.5819089
"CorrApplCostAbilityHighB",38,.5580264
"CorrApplCostAbilityHighB",39,.5905702
"CorrApplCostAbilityHighB",40,.5684826
"CorrApplCostAbilityHighB",41,.5457395
"CorrApplCostAbilityHighB",42,.6116994
"CorrApplCostAbilityHighB",43,.3338027
"CorrApplCostAbilityHighB",44,.6205739
"CorrApplCostAbilityHighB",45,.6041427
"CorrApplCostAbilityHighB",46,.5891446
"CorrApplCostAbilityHighB",47,.6162615
"CorrApplCostAbilityHighB",48,.5965472
"CorrApplCostAbilityHighB",49,.5541081
"CorrApplCostAbilityHighB",50,.569271
"CorrApplCostAbilityHighB",51,.5743252
"CorrApplCostAbilityHighB",52,.5453596
"CorrApplCostAbilityHighB",53,.5553076
"CorrApplCostAbilityHighB",54,.5290149
"CorrApplCostAbilityHighB",55,.6097355
"CorrApplCostAbilityHighB",56,.5145184
"CorrApplCostAbilityHighB",57,.5776541
"CorrApplCostAbilityHighB",58,.6195323
"CorrApplCostAbilityHighB",59,.558427
"CorrApplCostAbilityHighB",60,.602909
"CorrApplCostAbilityHighB",61,.6193163
"CorrApplCostAbilityHighB",62,.6204842
"CorrApplCostAbilityHighB",63,.5960457
"CorrApplCostAbilityHighB",64,.6114271
"CorrApplCostAbilityHighB",65,.587947
"CorrApplCostAbilityHighB",66,.6360934
"CorrApplCostAbilityHighB",67,.5941969
"CorrApplCostAbilityHighB",68,.5800861
"CorrApplCostAbilityHighB",69,.5615228
"CorrApplCostAbilityHighB",70,.5321472
"CorrApplCostAbilityHighB",71,.6037859
"CorrApplCostAbilityHighB",72,.5512732
"CorrApplCostAbilityHighB",73,.4838715
"CorrApplCostAbilityHighB",74,.3350886
"CorrApplCostAbilityHighB",75,.5747142
"CorrApplCostAbilityHighB",76,.5858508
"CorrApplCostAbilityHighB",77,.5981964
"CorrApplCostAbilityHighB",78,.5072048
"CorrApplCostAbilityHighB",79,.6037855
"CorrApplCostAbilityHighB",80,.5963073
"CorrApplCostAbilityHighB",81,.6001619
"CorrApplCostAbilityLowB",1,.6398452
"CorrApplCostAbilityLowB",2,.6398452
"CorrApplCostAbilityLowB",3,.5734833
"CorrApplCostAbilityLowB",4,.5766216
"CorrApplCostAbilityLowB",5,.5970028
"CorrApplCostAbilityLowB",6,.6421388
"CorrApplCostAbilityLowB",7,.5905547
"CorrApplCostAbilityLowB",8,.6147403
"CorrApplCostAbilityLowB",9,.6653987
"CorrApplCostAbilityLowB",10,.5963865
"CorrApplCostAbilityLowB",11,.6208535
"CorrApplCostAbilityLowB",12,.6073722
"CorrApplCostAbilityLowB",13,.6273033
"CorrApplCostAbilityLowB",14,.586729
"CorrApplCostAbilityLowB",15,.6324854
"CorrApplCostAbilityLowB",16,.5698909
"CorrApplCostAbilityLowB",17,.6495945
"CorrApplCostAbilityLowB",18,.6538453
"CorrApplCostAbilityLowB",19,.633687
"CorrApplCostAbilityLowB",20,.5935966
"CorrApplCostAbilityLowB",21,.6106358
"CorrApplCostAbilityLowB",22,.6519451
"CorrApplCostAbilityLowB",23,.4946145
"CorrApplCostAbilityLowB",24,.6344659
"CorrApplCostAbilityLowB",25,.6414626
"CorrApplCostAbilityLowB",26,.6558367
"CorrApplCostAbilityLowB",27,.6066819
"CorrApplCostAbilityLowB",28,.6379173
"CorrApplCostAbilityLowB",29,.615828
"CorrApplCostAbilityLowB",30,.6384683
"CorrApplCostAbilityLowB",31,.5864069
"CorrApplCostAbilityLowB",32,.637441
"CorrApplCostAbilityLowB",33,.6123275
"CorrApplCostAbilityLowB",34,.5994198
"CorrApplCostAbilityLowB",35,.6256752
"CorrApplCostAbilityLowB",36,.6169925
"CorrApplCostAbilityLowB",37,.6090986
"CorrApplCostAbilityLowB",38,.6427408
"CorrApplCostAbilityLowB",39,.6687919
"CorrApplCostAbilityLowB",40,.6070132
"CorrApplCostAbilityLowB",41,.5863607
"CorrApplCostAbilityLowB",42,.6422157
"CorrApplCostAbilityLowB",43,.3353691
"CorrApplCostAbilityLowB",44,.5304052
"CorrApplCostAbilityLowB",45,.6209573
"CorrApplCostAbilityLowB",46,.6015424
"CorrApplCostAbilityLowB",47,.5954633
"CorrApplCostAbilityLowB",48,.6346183
"CorrApplCostAbilityLowB",49,.5998684
"CorrApplCostAbilityLowB",50,.622233
"CorrApplCostAbilityLowB",51,.5315818
"CorrApplCostAbilityLowB",52,.5513397
"CorrApplCostAbilityLowB",53,.6107097
"CorrApplCostAbilityLowB",54,.5825236
"CorrApplCostAbilityLowB",55,.6826493
"CorrApplCostAbilityLowB",56,.6322013
"CorrApplCostAbilityLowB",57,.6305045
"CorrApplCostAbilityLowB",58,.5979288
"CorrApplCostAbilityLowB",59,.6587975
"CorrApplCostAbilityLowB",60,.654181
"CorrApplCostAbilityLowB",61,.6629546
"CorrApplCostAbilityLowB",62,.6272979
"CorrApplCostAbilityLowB",63,.478481
"CorrApplCostAbilityLowB",64,.5610818
"CorrApplCostAbilityLowB",65,.4410827
