object,replicate_number,replicate_value
AdopteesExtendedFam,1,0.159194083343932
AdopteesExtendedFam,2,0.15525655391251
AdopteesExtendedFam,3,0.186524597275527
AdopteesExtendedFam,4,0.128830602415561
AdopteesExtendedFam,5,0.232533949155381
AdopteesExtendedFam,6,0.167878934393325
AdopteesExtendedFam,7,0.159418837481661
AdopteesExtendedFam,8,0.172771424691563
AdopteesExtendedFam,9,0.162481823521801
AdopteesExtendedFam,10,0.199111456707509
AdopteesExtendedFam,11,0.260765701436864
AdopteesExtendedFam,12,0.245498674968305
AdopteesExtendedFam,13,0.180134785903465
AdopteesExtendedFam,14,0.277164467758257
AdopteesExtendedFam,15,0.232699788606259
AdopteesExtendedFam,16,0.241852627233767
AdopteesExtendedFam,17,0.239892486655151
AdopteesExtendedFam,18,0.236774705647114
AdopteesExtendedFam,19,0.215350515491313
AdopteesExtendedFam,20,0.173803503527232
AdopteesExtendedFam,21,0.190943515110153
AdopteesExtendedFam,22,0.182508601054492
AdopteesExtendedFam,23,0.252488277455871
AdopteesExtendedFam,24,0.157029824200634
AdopteesExtendedFam,25,0.220156065165678
AdopteesExtendedFam,26,0.251222883375128
AdopteesExtendedFam,27,0.234134863041478
AdopteesExtendedFam,28,0.1921701714866
AdopteesExtendedFam,29,0.243090387328459
AdopteesExtendedFam,30,0.237614707613611
AdopteesExtendedFam,31,0.187720815964445
AdopteesExtendedFam,32,0.197061680187776
AdopteesExtendedFam,33,0.130881574336861
AdopteesExtendedFam,34,0.149566934704373
AdopteesExtendedFam,35,0.198891634060404
AdopteesExtendedFam,36,0.138209643534444
AdopteesExtendedFam,37,0.188892780550649
AdopteesExtendedFam,38,0.180735875485448
AdopteesExtendedFam,39,0.294296568611439
AdopteesExtendedFam,40,0.167617512515579
AdopteesExtendedFam,41,0.23283752453987
AdopteesExtendedFam,42,0.301018593309844
AdopteesExtendedFam,43,0.218717714067349
AdopteesExtendedFam,44,0.175493739636842
AdopteesExtendedFam,45,0.13743911905933
AdopteesExtendedFam,46,0.232231169956853
AdopteesExtendedFam,47,0.203610245817425
AdopteesExtendedFam,48,0.219698756718074
AdopteesExtendedFam,49,0.198400660996194
AdopteesExtendedFam,50,0.189650454804186
AdopteesExtendedFam,51,0.211062197614633
AdopteesExtendedFam,52,0.234864256789186
AdopteesExtendedFam,53,0.204645107482331
AdopteesExtendedFam,54,0.276884605499003
AdopteesExtendedFam,55,0.166943978331816
AdopteesExtendedFam,56,0.206488827135304
AdopteesExtendedFam,57,0.213971853077058
AdopteesExtendedFam,58,0.196625314194585
AdopteesExtendedFam,59,0.187231208392145
AdopteesExtendedFam,60,0.31708435348506
AdopteesExtendedFam,61,0.204118055544978
AdopteesExtendedFam,62,0.221740143701914
AdopteesExtendedFam,63,0.199294950354047
AdopteesExtendedFam,64,0.177456304274816
AdopteesExtendedFam,65,0.134866202245967
AdopteesExtendedFam,66,0.213256304230884
AdopteesExtendedFam,67,0.198661840857154
AdopteesExtendedFam,68,0.20066160353935
AdopteesExtendedFam,69,0.241768025779546
AdopteesExtendedFam,70,0.24042232004665
AdopteesExtendedFam,71,0.293172293279204
AdopteesExtendedFam,72,0.19900897341205
AdopteesExtendedFam,73,0.274355844231585
AdopteesExtendedFam,74,0.205731567859968
AdopteesExtendedFam,75,0.228777755862946
AdopteesExtendedFam,76,0.173399761456019
AdopteesExtendedFam,77,0.174557127969722
AdopteesExtendedFam,78,0.210920348640401
AdopteesExtendedFam,79,0.158126545565676
AdopteesExtendedFam,80,0.337324670773213
AdopteesExtendedFam,81,0.231846414114476
AdopteesExtendedFam,82,0.271647431044192
AdopteesExtendedFam,83,0.275197015527158
AdopteesExtendedFam,84,0.159632417054682
AdopteesExtendedFam,85,0.181145873338189
AdopteesExtendedFam,86,0.179221306494761
AdopteesExtendedFam,87,0.174909984897192
AdopteesExtendedFam,88,0.167481426997878
AdopteesExtendedFam,89,0.189364452109891
AdopteesExtendedFam,90,0.229231189970651
AdopteesExtendedFam,91,0.283512141305664
AdopteesExtendedFam,92,0.257916236779225
AdopteesExtendedFam,93,0.206396319154583
AdopteesExtendedFam,94,0.227107050439766
AdopteesExtendedFam,95,0.264944927008493
AdopteesExtendedFam,96,0.267832713232005
AdopteesExtendedFam,97,0.155964451728778
AdopteesExtendedFam,98,0.191214330768109
AdopteesExtendedFam,99,0.238603773052425
AdopteesExtendedFam,100,0.237056076202418
AdopteesExtendedFam,101,0.25628439676527
AdopteesExtendedFam,102,0.227722682673698
AdopteesExtendedFam,103,0.141342001752839
AdopteesExtendedFam,104,0.173306402595567
AdopteesExtendedFam,105,0.148593136703496
AdopteesExtendedFam,106,0.209013020819719
AdopteesExtendedFam,107,0.178547956391473
AdopteesExtendedFam,108,0.159140219586068
AdopteesExtendedFam,109,0.21741114539557
AdopteesExtendedFam,110,0.147609896290128
AdopteesExtendedFam,111,0.174677627436253
AdopteesExtendedFam,112,0.284833288698192
AdopteesExtendedFam,113,0.221742305367144
AdopteesExtendedFam,114,0.185317364546482
AdopteesExtendedFam,115,0.354898701019246
AdopteesExtendedFam,116,0.259319260756592
AdopteesExtendedFam,117,0.217016199989767
AdopteesExtendedFam,118,0.223518464785303
AdopteesExtendedFam,119,0.17125609255497
AdopteesExtendedFam,120,0.283989703878013
AdopteesExtendedFam,121,0.263648546087032
AdopteesExtendedFam,122,0.243722873779558
AdopteesExtendedFam,123,0.200759890597433
AdopteesExtendedFam,124,0.168084991499431
AdopteesExtendedFam,125,0.244781424217709
AdopteesExtendedFam,126,0.18888229665071
AdopteesExtendedFam,127,0.218238838815202
AdopteesExtendedFam,128,0.323253706337056
AdopteesExtendedFam,129,0.210037520541699
AdopteesExtendedFam,130,0.205931862742041
AdopteesExtendedFam,131,0.219981200367851
AdopteesExtendedFam,132,0.249284103900287
AdopteesExtendedFam,133,0.239384426357886
AdopteesExtendedFam,134,0.239837366003305
AdopteesExtendedFam,135,0.225413420097334
AdopteesExtendedFam,136,0.25613546523929
AdopteesExtendedFam,137,0.265520655843699
AdopteesExtendedFam,138,0.23547476456048
AdopteesExtendedFam,139,0.284920668922095
AdopteesExtendedFam,140,0.195783520066385
AdopteesExtendedFam,141,0.306464432903145
AdopteesExtendedFam,142,0.222088448032281
AdopteesExtendedFam,143,0.226288180421107
AdopteesExtendedFam,144,0.211315626686994
AdopteesExtendedFam,145,0.203022565286394
AdopteesExtendedFam,146,0.271968499714157
AdopteesExtendedFam,147,0.20239724412792
AdopteesExtendedFam,148,0.268494852310605
AdopteesExtendedFam,149,0.237776959655315
AdopteesExtendedFam,150,0.192367477486802
AdopteesExtendedFam,151,0.209619159928343
AdopteesExtendedFam,152,0.214240463699533
AdopteesExtendedFam,153,0.208245283184853
AdopteesExtendedFam,154,0.134208561714807
AdopteesExtendedFam,155,0.27074979392787
AdopteesExtendedFam,156,0.218829839388878
AdopteesExtendedFam,157,0.228411743591766
AdopteesExtendedFam,158,0.236622761328649
AdopteesExtendedFam,159,0.205534810145265
AdopteesExtendedFam,160,0.28044125333002
AdopteesExtendedFam,161,0.206361050549738
AdopteesExtendedFam,162,0.202879098407679
AdopteesExtendedFam,163,0.33760946571374
AdopteesExtendedFam,164,0.191749897586083
AdopteesExtendedFam,165,0.252967678346349
AdopteesExtendedFam,166,0.305602048348941
AdopteesExtendedFam,167,0.177222551060765
AdopteesExtendedFam,168,0.19232643294519
AdopteesExtendedFam,169,0.173756225169023
AdopteesExtendedFam,170,0.309975343188321
AdopteesExtendedFam,171,0.17719407116401
AdopteesExtendedFam,172,0.130174068979409
