object,replicate_number,replicate_value
ATETattendedSomeCollege,1,0.6894499
ATETattendedSomeCollege,2,2.2342482
ATETattendedSomeCollege,3,3.505295
ATETattendedSomeCollege,4,4.1857934
ATETattendedSomeCollege,5,6.701228
ATETattendedSomeCollege,6,3.7156944
ATETattendedSomeCollege,7,4.388014
ATETattendedSomeCollege,8,3.0176964
ATETattendedSomeCollege,9,5.533807
ATETattendedSomeCollege,10,4.486779
ATETattendedSomeCollege,11,6.750495
ATETattendedSomeCollege,12,6.4845963
ATETattendedSomeCollege,13,9.017798
ATETattendedSomeCollege,14,2.425419
ATETattendedSomeCollege,15,7.861015
ATETattendedSomeCollege,16,3.218576
ATETattendedSomeCollege,17,1.9047256
ATETattendedSomeCollege,18,2.6385443
ATETattendedSomeCollege,19,7.883741
ATETattendedSomeCollege,20,3.766526
ATETattendedSomeCollege,21,7.3571777
ATETattendedSomeCollege,22,2.4546442
ATETattendedSomeCollege,23,4.352224
ATETattendedSomeCollege,24,7.1089344
ATETattendedSomeCollege,25,7.835799
ATETattendedSomeCollege,26,-0.00102611
ATETattendedSomeCollege,27,0.93896145
ATETattendedSomeCollege,28,6.750882
ATETattendedSomeCollege,29,7.774434
ATETattendedSomeCollege,30,4.1260962
ATETattendedSomeCollege,31,6.857604
ATETattendedSomeCollege,32,2.9373038
ATETattendedSomeCollege,33,6.202765
ATETattendedSomeCollege,34,6.9173737
ATETattendedSomeCollege,35,5.7999496
ATETattendedSomeCollege,36,7.5113087
ATETattendedSomeCollege,37,7.7800827
ATETattendedSomeCollege,38,5.046781
ATETattendedSomeCollege,39,6.4107122
ATETattendedSomeCollege,40,1.2738979
ATETattendedSomeCollege,41,-0.02987696
ATETattendedSomeCollege,42,5.4875793
ATETattendedSomeCollege,43,6.682796
ATETattendedSomeCollege,44,8.828217
ATETattendedSomeCollege,45,5.0305705
ATETattendedSomeCollege,46,1.7722758
ATETattendedSomeCollege,47,2.8246047
ATETattendedSomeCollege,48,6.3798866
ATETattendedSomeCollege,49,3.4188676
ATETattendedSomeCollege,50,-0.34410277
ATETattendedSomeCollege,51,7.8353925
ATETattendedSomeCollege,52,4.5010114
ATETattendedSomeCollege,53,3.9311025
ATETattendedSomeCollege,54,8.124716
ATETattendedSomeCollege,55,4.393139
ATETattendedSomeCollege,56,5.4139795
ATETattendedSomeCollege,57,4.400353
ATETattendedSomeCollege,58,6.654229
ATETattendedSomeCollege,59,8.230744
ATETattendedSomeCollege,60,10.615362
ATETattendedSomeCollege,61,7.82614
ATETattendedSomeCollege,62,4.219012
ATETattendedSomeCollege,63,6.2066565
ATETattendedSomeCollege,64,4.2056613
ATETattendedSomeCollege,65,1.2103784
ATETattendedSomeCollege,66,5.9858165
ATETattendedSomeCollege,67,15.278496
ATETattendedSomeCollege,68,7.5817146
ATETattendedSomeCollege,69,4.7402954
ATETattendedSomeCollege,70,8.629198
ATETattendedSomeCollege,71,3.7033076
ATETattendedSomeCollege,72,0.51290375
ATETattendedSomeCollege,73,1.3257557
ATETattendedSomeCollege,74,4.1259236
ATETattendedSomeCollege,75,7.4585214
ATETattendedSomeCollege,76,6.194802
ATETattendedSomeCollege,77,7.6666317
ATETattendedSomeCollege,78,1.1690679
ATETattendedSomeCollege,79,1.3080765
ATETattendedSomeCollege,80,7.4760966
ATETattendedSomeCollege,81,7.765897
ATETattendedSomeCollege,82,4.001201
ATETattendedSomeCollege,83,2.5578551
ATETattendedSomeCollege,84,14.108168
ATETattendedSomeCollege,85,6.4429173
ATETattendedSomeCollege,86,4.778134
ATETattendedSomeCollege,87,1.0944794
ATETattendedSomeCollege,88,7.3424563
ATETattendedSomeCollege,89,7.8018837
ATETattendedSomeCollege,90,4.5429173
ATETattendedSomeCollege,91,4.722775
ATETattendedSomeCollege,92,-0.7434686
ATETattendedSomeCollege,93,7.02341
ATETattendedSomeCollege,94,5.6548553
ATETattendedSomeCollege,95,5.1893125
ATETattendedSomeCollege,96,7.9821515
ATETattendedSomeCollege,97,7.817302
ATETattendedSomeCollege,98,12.823526
ATETattendedSomeCollege,99,7.990208
ATETattendedSomeCollege,100,4.431001
ATETattendedSomeCollege,101,12.30866
ATETattendedSomeCollege,102,5.863957
ATETattendedSomeCollege,103,5.362746
ATETattendedSomeCollege,104,4.315732
ATETattendedSomeCollege,105,3.9302375
ATETattendedSomeCollege,106,5.9401913
ATETattendedSomeCollege,107,1.2904007
ATETattendedSomeCollege,108,6.204512
ATETattendedSomeCollege,109,8.188516
ATETattendedSomeCollege,110,3.8371623
ATETattendedSomeCollege,111,7.7565207
ATETattendedSomeCollege,112,4.006146
ATETattendedSomeCollege,113,3.0751414
ATETattendedSomeCollege,114,7.3627687
ATETattendedSomeCollege,115,2.9962234
ATETattendedSomeCollege,116,11.653646
ATETattendedSomeCollege,117,4.094477
ATETattendedSomeCollege,118,3.2290452
ATETattendedSomeCollege,119,6.7012405
ATETattendedSomeCollege,120,6.8417687
ATETattendedSomeCollege,121,3.7209122
ATETattendedSomeCollege,122,6.151728
ATETattendedSomeCollege,123,4.3974733
ATETattendedSomeCollege,124,3.1103537
ATETattendedSomeCollege,125,0.42192852
ATETattendedSomeCollege,126,7.362252
ATETattendedSomeCollege,127,8.918638
ATETattendedSomeCollege,128,5.8307896
ATETattendedSomeCollege,129,4.5208864
ATETattendedSomeCollege,130,7.0329003
ATETattendedSomeCollege,131,6.346077
ATETattendedSomeCollege,132,1.0516863
ATETattendedSomeCollege,133,9.689255
ATETattendedSomeCollege,134,3.4064307
ATETattendedSomeCollege,135,2.713764
ATETattendedSomeCollege,136,11.680723
ATETattendedSomeCollege,137,3.514123
ATETattendedSomeCollege,138,8.005571
ATETattendedSomeCollege,139,11.175938
ATETattendedSomeCollege,140,3.425188
ATETattendedSomeCollege,141,1.6783788
ATETattendedSomeCollege,142,10.832288
ATETattendedSomeCollege,143,3.8020108
ATETattendedSomeCollege,144,-0.24853942
ATETattendedSomeCollege,145,16.879663
ATETattendedSomeCollege,146,3.1025543
ATETattendedSomeCollege,147,9.033294
ATETattendedSomeCollege,148,3.3782873
ATETattendedSomeCollege,149,6.6229568
ATETattendedSomeCollege,150,4.1978045
ATETattendedSomeCollege,151,0.7458968
ATETattendedSomeCollege,152,4.541593
ATETattendedSomeCollege,153,6.425223
ATETattendedSomeCollege,154,8.586414
ATETattendedSomeCollege,155,7.817896
ATETattendedSomeCollege,156,5.2251797
ATETattendedSomeCollege,157,2.026794
ATETattendedSomeCollege,158,4.853148
ATETattendedSomeCollege,159,5.1721497
ATETattendedSomeCollege,160,5.666707
ATETattendedSomeCollege,161,4.8501377
ATETattendedSomeCollege,162,0.72717977
ATETattendedSomeCollege,163,4.3894525
ATETattendedSomeCollege,164,8.296604
ATETattendedSomeCollege,165,0.63166946
ATETattendedSomeCollege,166,4.118016
ATETattendedSomeCollege,167,4.385161
ATETattendedSomeCollege,168,-0.51384556
