object,replicate_number,replicate_value
BouyguesCostsPostEntry,1,36.17700792
BouyguesCostsPostEntry,2,35.90055261
BouyguesCostsPostEntry,3,58.65638996
BouyguesCostsPostEntry,4,24.65867301
BouyguesCostsPostEntry,5,68.10621613
BouyguesCostsPostEntry,6,48.44017689
BouyguesCostsPostEntry,7,51.6559013
BouyguesCostsPostEntry,8,42.44611691
BouyguesCostsPostEntry,9,40.72928994
BouyguesCostsPostEntry,10,68.63499025
BouyguesCostsPostEntry,11,66.52649864
BouyguesCostsPostEntry,12,67.30519873
BouyguesCostsPostEntry,13,43.72113769
BouyguesCostsPostEntry,14,23.80047006
BouyguesCostsPostEntry,15,37.74900501
BouyguesCostsPostEntry,16,46.39759898
BouyguesCostsPostEntry,17,50.78679837
BouyguesCostsPostEntry,18,31.63849307
BouyguesCostsPostEntry,19,45.00831534
BouyguesCostsPostEntry,20,46.52416769
BouyguesCostsPostEntry,21,55.11687502
BouyguesCostsPostEntry,22,49.30928036
BouyguesCostsPostEntry,23,57.45516721
BouyguesCostsPostEntry,24,62.1490579
BouyguesCostsPostEntry,25,35.8740516
BouyguesCostsPostEntry,26,45.80789053
BouyguesCostsPostEntry,27,40.44690738
BouyguesCostsPostEntry,28,44.29069106
BouyguesCostsPostEntry,29,44.55517295
BouyguesCostsPostEntry,30,54.27927911
BouyguesCostsPostEntry,31,41.26348128
BouyguesCostsPostEntry,32,36.2488906
BouyguesCostsPostEntry,33,81.86350271
BouyguesCostsPostEntry,34,43.32774263
BouyguesCostsPostEntry,35,37.10520355
BouyguesCostsPostEntry,36,57.09522833
BouyguesCostsPostEntry,37,49.67717813
BouyguesCostsPostEntry,38,58.66643652
BouyguesCostsPostEntry,39,27.1648413
BouyguesCostsPostEntry,40,43.66664816
BouyguesCostsPostEntry,41,48.02453084
BouyguesCostsPostEntry,42,35.04908727
BouyguesCostsPostEntry,43,37.00159466
BouyguesCostsPostEntry,44,35.60608194
BouyguesCostsPostEntry,45,35.36972084
BouyguesCostsPostEntry,46,37.93371033
BouyguesCostsPostEntry,47,95.14955996
BouyguesCostsPostEntry,48,53.25830406
BouyguesCostsPostEntry,49,33.223726
BouyguesCostsPostEntry,50,49.48151837
BouyguesCostsPostEntry,51,48.13401041
BouyguesCostsPostEntry,52,28.28756419
BouyguesCostsPostEntry,53,50.12441198
BouyguesCostsPostEntry,54,32.51564053
BouyguesCostsPostEntry,55,56.71197064
BouyguesCostsPostEntry,56,55.2706599
BouyguesCostsPostEntry,57,47.51766164
BouyguesCostsPostEntry,58,24.94611084
BouyguesCostsPostEntry,59,66.71698046
BouyguesCostsPostEntry,60,63.03717512
BouyguesCostsPostEntry,61,43.63511403
BouyguesCostsPostEntry,62,64.07044361
BouyguesCostsPostEntry,63,63.01041673
BouyguesCostsPostEntry,64,33.65984142
BouyguesCostsPostEntry,65,57.55324511
BouyguesCostsPostEntry,66,84.95921027
BouyguesCostsPostEntry,67,52.90709672
