object,replicate_number,replicate_value
MeanCostPerGrade,1,9.81
MeanCostPerGrade,2,12.522
MeanCostPerGrade,3,10.405
MeanCostPerGrade,4,11.223
MeanCostPerGrade,5,9.3766
MeanCostPerGrade,6,10.945
MeanCostPerGrade,7,12.17
MeanCostPerGrade,8,10.831
MeanCostPerGrade,9,10.292
MeanCostPerGrade,10,9.283
MeanCostPerGrade,11,6.4446
MeanCostPerGrade,12,14.583
MeanCostPerGrade,13,11.804
MeanCostPerGrade,14,7.3576
MeanCostPerGrade,15,6.9685
MeanCostPerGrade,16,7.7919
MeanCostPerGrade,17,6.0307
MeanCostPerGrade,18,8.7136
MeanCostPerGrade,19,14.809
MeanCostPerGrade,20,10.336
MeanCostPerGrade,21,14.369
MeanCostPerGrade,22,9.5682
MeanCostPerGrade,23,13.677
MeanCostPerGrade,24,14.416
MeanCostPerGrade,25,15.144
MeanCostPerGrade,26,14.409
MeanCostPerGrade,27,13.915
MeanCostPerGrade,28,8.8822
MeanCostPerGrade,29,10.609
MeanCostPerGrade,30,13.857
MeanCostPerGrade,31,11.18
MeanCostPerGrade,32,13.618
MeanCostPerGrade,33,14.248
MeanCostPerGrade,34,10.965
MeanCostPerGrade,35,9.4652
MeanCostPerGrade,36,5.5828
MeanCostPerGrade,37,11.932
MeanCostPerGrade,38,11.392
MeanCostPerGrade,39,12.151
MeanCostPerGrade,40,12.808
MeanCostPerGrade,41,11.968
MeanCostPerGrade,42,9.9729
MeanCostPerGrade,43,9.239
MeanCostPerGrade,44,12.135
MeanCostPerGrade,45,8.2663
MeanCostPerGrade,46,11.532
MeanCostPerGrade,47,11.29
MeanCostPerGrade,48,11.158
MeanCostPerGrade,49,8.8737
MeanCostPerGrade,50,9.4168
MeanCostPerGrade,51,15.172
MeanCostPerGrade,52,10.914
MeanCostPerGrade,53,18.587
MeanCostPerGrade,54,4.949
MeanCostPerGrade,55,10.299
MeanCostPerGrade,56,8.6077
MeanCostPerGrade,57,11.966
MeanCostPerGrade,58,9.2911
MeanCostPerGrade,59,12.952
MeanCostPerGrade,60,11.096
MeanCostPerGrade,61,8.2975
MeanCostPerGrade,62,6.7146
MeanCostPerGrade,63,9.7143
MeanCostPerGrade,64,10.52
MeanCostPerGrade,65,11.796
MeanCostPerGrade,66,14.461
MeanCostPerGrade,67,10.187
MeanCostPerGrade,68,12.279
MeanCostPerGrade,69,9.7812
MeanCostPerGrade,70,12.192
MeanCostPerGrade,71,14.908
MeanCostPerGrade,72,13.798
MeanCostPerGrade,73,6.2565
MeanCostPerGrade,74,8.0074
MeanCostPerGrade,75,5.2986
MeanCostPerGrade,76,9.8649
MeanCostPerGrade,77,11.836
MeanCostPerGrade,78,10.008
MeanCostPerGrade,79,10.268
MeanCostPerGrade,80,9.9446
MeanCostPerGrade,81,14.003
MeanCostPerGrade,82,21.133
MeanCostPerGrade,83,12.145
MeanCostPerGrade,84,10.127
MeanCostPerGrade,85,11.536
MeanCostPerGrade,86,12.903
MeanCostPerGrade,87,11.918
MeanCostPerGrade,88,13.072
MeanCostPerGrade,89,12.599
MeanCostPerGrade,90,14.969
MeanCostPerGrade,91,10.761
MeanCostPerGrade,92,14.285
MeanCostPerGrade,93,13.412
MeanCostPerGrade,94,9.29
MeanCostPerGrade,95,10.582
MeanCostPerGrade,96,9.588
MeanCostPerGrade,97,12.824
MeanCostPerGrade,98,10.807
MeanCostPerGrade,99,9.6012
MeanCostPerGrade,100,9.5132
