object,replicate_number,replicate_value
ReductionInVarianceEqualizingHealthCapital,1,0.6394257
ReductionInVarianceEqualizingHealthCapital,2,0.6479644
ReductionInVarianceEqualizingHealthCapital,3,0.5536075
ReductionInVarianceEqualizingHealthCapital,4,0.7802225
ReductionInVarianceEqualizingHealthCapital,5,0.6505461
ReductionInVarianceEqualizingHealthCapital,6,0.77574337
ReductionInVarianceEqualizingHealthCapital,7,0.7835956
ReductionInVarianceEqualizingHealthCapital,8,0.5260364
ReductionInVarianceEqualizingHealthCapital,9,0.6565553
ReductionInVarianceEqualizingHealthCapital,10,0.7317993
ReductionInVarianceEqualizingHealthCapital,11,0.5111766
ReductionInVarianceEqualizingHealthCapital,12,0.67369133
ReductionInVarianceEqualizingHealthCapital,13,0.7097931
ReductionInVarianceEqualizingHealthCapital,14,0.5492762
ReductionInVarianceEqualizingHealthCapital,15,0.7471064
ReductionInVarianceEqualizingHealthCapital,16,0.6800718
ReductionInVarianceEqualizingHealthCapital,17,0.7543986
ReductionInVarianceEqualizingHealthCapital,18,0.6600971
ReductionInVarianceEqualizingHealthCapital,19,0.6606595
ReductionInVarianceEqualizingHealthCapital,20,0.7837512
ReductionInVarianceEqualizingHealthCapital,21,0.7292358
ReductionInVarianceEqualizingHealthCapital,22,0.53781945
ReductionInVarianceEqualizingHealthCapital,23,0.76361376
ReductionInVarianceEqualizingHealthCapital,24,0.77227026
ReductionInVarianceEqualizingHealthCapital,25,0.6155143
ReductionInVarianceEqualizingHealthCapital,26,0.76757306
ReductionInVarianceEqualizingHealthCapital,27,0.6878698
ReductionInVarianceEqualizingHealthCapital,28,0.68979335
ReductionInVarianceEqualizingHealthCapital,29,0.66779965
ReductionInVarianceEqualizingHealthCapital,30,0.5669491
ReductionInVarianceEqualizingHealthCapital,31,0.72269374
ReductionInVarianceEqualizingHealthCapital,32,0.5828668
ReductionInVarianceEqualizingHealthCapital,33,0.80801773
ReductionInVarianceEqualizingHealthCapital,34,0.6075895
ReductionInVarianceEqualizingHealthCapital,35,0.6879707
ReductionInVarianceEqualizingHealthCapital,36,0.7247175
ReductionInVarianceEqualizingHealthCapital,37,0.83395875
ReductionInVarianceEqualizingHealthCapital,38,0.6767981
ReductionInVarianceEqualizingHealthCapital,39,0.6941974
ReductionInVarianceEqualizingHealthCapital,40,0.61789507
ReductionInVarianceEqualizingHealthCapital,41,0.68570423
ReductionInVarianceEqualizingHealthCapital,42,0.65623796
ReductionInVarianceEqualizingHealthCapital,43,0.76873535
ReductionInVarianceEqualizingHealthCapital,44,0.67773104
ReductionInVarianceEqualizingHealthCapital,45,0.57033366
ReductionInVarianceEqualizingHealthCapital,46,0.60597444
ReductionInVarianceEqualizingHealthCapital,47,0.5953388
ReductionInVarianceEqualizingHealthCapital,48,0.6858455
ReductionInVarianceEqualizingHealthCapital,49,0.75270426
