object,replicate_number,replicate_value
"LowerBoundVarJobFindingProb",1,.023005
"LowerBoundVarJobFindingProb",2,.0358174
"LowerBoundVarJobFindingProb",3,.0334152
"LowerBoundVarJobFindingProb",4,.0230557
"LowerBoundVarJobFindingProb",5,.0372243
"LowerBoundVarJobFindingProb",6,.051355
"LowerBoundVarJobFindingProb",7,.0267167
"LowerBoundVarJobFindingProb",8,.032918
"LowerBoundVarJobFindingProb",9,.0551924
"LowerBoundVarJobFindingProb",10,.0404456
"LowerBoundVarJobFindingProb",11,.0368974
"LowerBoundVarJobFindingProb",12,.0321256
"LowerBoundVarJobFindingProb",13,.0425923
"LowerBoundVarJobFindingProb",14,.0418137
"LowerBoundVarJobFindingProb",15,.0293453
"LowerBoundVarJobFindingProb",16,.0266131
"LowerBoundVarJobFindingProb",17,.0393915
"LowerBoundVarJobFindingProb",18,.0471106
"LowerBoundVarJobFindingProb",19,.0127731
"LowerBoundVarJobFindingProb",20,.0171859
"LowerBoundVarJobFindingProb",21,.0486184
"LowerBoundVarJobFindingProb",22,.0315091
"LowerBoundVarJobFindingProb",23,.0149261
"LowerBoundVarJobFindingProb",24,.0294597
"LowerBoundVarJobFindingProb",25,.0377018
"LowerBoundVarJobFindingProb",26,.0224972
"LowerBoundVarJobFindingProb",27,.0351121
"LowerBoundVarJobFindingProb",28,.0448215
"LowerBoundVarJobFindingProb",29,.0340653
"LowerBoundVarJobFindingProb",30,.0272053
"LowerBoundVarJobFindingProb",31,.0493682
"LowerBoundVarJobFindingProb",32,.0341682
"LowerBoundVarJobFindingProb",33,.0201271
"LowerBoundVarJobFindingProb",34,.0357783
"LowerBoundVarJobFindingProb",35,.0237188
"LowerBoundVarJobFindingProb",36,.0244747
"LowerBoundVarJobFindingProb",37,.0284226
"LowerBoundVarJobFindingProb",38,.0361543
"LowerBoundVarJobFindingProb",39,.0170842
"LowerBoundVarJobFindingProb",40,.0397563
"LowerBoundVarJobFindingProb",41,.0376237
"LowerBoundVarJobFindingProb",42,.0329265
"LowerBoundVarJobFindingProb",43,.0289689
"LowerBoundVarJobFindingProb",44,.0236866
"LowerBoundVarJobFindingProb",45,.0263817
"LowerBoundVarJobFindingProb",46,.0416813
"LowerBoundVarJobFindingProb",47,.0251702
"LowerBoundVarJobFindingProb",48,.015456
"LowerBoundVarJobFindingProb",49,.0294611
"LowerBoundVarJobFindingProb",50,.0318656
"LowerBoundVarJobFindingProb",51,.0120525
"LowerBoundVarJobFindingProb",52,.021844
"LowerBoundVarJobFindingProb",53,.046039
"LowerBoundVarJobFindingProb",54,.0248955
"LowerBoundVarJobFindingProb",55,.0384075
"LowerBoundVarJobFindingProb",56,.0361244
"LowerBoundVarJobFindingProb",57,.0373371
"LowerBoundVarJobFindingProb",58,.0361649
"LowerBoundVarJobFindingProb",59,.0185331
"LowerBoundVarJobFindingProb",60,.0229562
"LowerBoundVarJobFindingProb",61,.0357608
"LowerBoundVarJobFindingProb",62,.0504916
"LowerBoundVarJobFindingProb",63,.038148
"LowerBoundVarJobFindingProb",64,.0410071
"LowerBoundVarJobFindingProb",65,.0256751
"LowerBoundVarJobFindingProb",66,.0376039
"LowerBoundVarJobFindingProb",67,.0339091
"LowerBoundVarJobFindingProb",68,.0201774
"LowerBoundVarJobFindingProb",69,.034568
"LowerBoundVarJobFindingProb",70,.0257904
"LowerBoundVarJobFindingProb",71,.0275013
"LowerBoundVarJobFindingProb",72,.0342469
"LowerBoundVarJobFindingProb",73,.0316946
"LowerBoundVarJobFindingProb",74,.0336862
"LowerBoundVarJobFindingProb",75,.0300576
"LowerBoundVarJobFindingProb",76,.0302394
"LowerBoundVarJobFindingProb",77,.0228564
"LowerBoundVarJobFindingProb",78,.0168532
"LowerBoundVarJobFindingProb",79,.040072
"LowerBoundVarJobFindingProb",80,.032458
"LowerBoundVarJobFindingProb",81,.0410029
"LowerBoundVarJobFindingProb",82,.035271
"LowerBoundVarJobFindingProb",83,.0211176
"LowerBoundVarJobFindingProb",84,.0308565
"LowerBoundVarJobFindingProb",85,.0224849
"LowerBoundVarJobFindingProb",86,.0261739
"LowerBoundVarJobFindingProb",87,.0349346
"LowerBoundVarJobFindingProb",88,.0237051
"LowerBoundVarJobFindingProb",89,.031773
"LowerBoundVarJobFindingProb",90,.0487945
"LowerBoundVarJobFindingProb",91,.0280918
"LowerBoundVarJobFindingProb",92,.067108
"LowerBoundVarJobFindingProb",93,.0157988
"LowerBoundVarJobFindingProb",94,.0264296
"LowerBoundVarJobFindingProb",95,.024627
"LowerBoundVarJobFindingProb",96,.0448175
"LowerBoundVarJobFindingProb",97,.0198535
"LowerBoundVarJobFindingProb",98,.0344328
"LowerBoundVarJobFindingProb",99,.03409
"LowerBoundVarJobFindingProb",100,.0259695
"LowerBoundVarJobFindingProb",101,.0375367
"LowerBoundVarJobFindingProb",102,.0474111
"LowerBoundVarJobFindingProb",103,.0249051
"LowerBoundVarJobFindingProb",104,.0358625
"LowerBoundVarJobFindingProb",105,.0271643
"LowerBoundVarJobFindingProb",106,.0235732
"LowerBoundVarJobFindingProb",107,.0351845
"LowerBoundVarJobFindingProb",108,.0452731
"LowerBoundVarJobFindingProb",109,.0218825
"LowerBoundVarJobFindingProb",110,.0261391
"LowerBoundVarJobFindingProb",111,.0183912
"LowerBoundVarJobFindingProb",112,.0293013
"LowerBoundVarJobFindingProb",113,.0357582
"LowerBoundVarJobFindingProb",114,.0293154
"LowerBoundVarJobFindingProb",115,.0374547
"LowerBoundVarJobFindingProb",116,.0305509
"LowerBoundVarJobFindingProb",117,.041194
"LowerBoundVarJobFindingProb",118,.0245031
"LowerBoundVarJobFindingProb",119,.0328922
"LowerBoundVarJobFindingProb",120,.0337354
"LowerBoundVarJobFindingProb",121,.0284686
"LowerBoundVarJobFindingProb",122,.038601
"LowerBoundVarJobFindingProb",123,.0354069
"LowerBoundVarJobFindingProb",124,.0339223
"LowerBoundVarJobFindingProb",125,.0424406
"LowerBoundVarJobFindingProb",126,.021132
"LowerBoundVarJobFindingProb",127,.0477214
"LowerBoundVarJobFindingProb",128,.0218503
"LowerBoundVarJobFindingProb",129,.0205975
"LowerBoundVarJobFindingProb",130,.0385174
"LowerBoundVarJobFindingProb",131,.0253781
"LowerBoundVarJobFindingProb",132,.0357783
"LowerBoundVarJobFindingProb",133,.0366285
"LowerBoundVarJobFindingProb",134,.0315073
"LowerBoundVarJobFindingProb",135,.042107
"LowerBoundVarJobFindingProb",136,.0502423
"LowerBoundVarJobFindingProb",137,.0256638
"LowerBoundVarJobFindingProb",138,.0238715
"LowerBoundVarJobFindingProb",139,.0379434
"LowerBoundVarJobFindingProb",140,.0402652
"LowerBoundVarJobFindingProb",141,.0342461
"LowerBoundVarJobFindingProb",142,.0238693
"LowerBoundVarJobFindingProb",143,.026873
"LowerBoundVarJobFindingProb",144,.0246373
"LowerBoundVarJobFindingProb",145,.0130461
"LowerBoundVarJobFindingProb",146,.0195435
"LowerBoundVarJobFindingProb",147,.0274987
"LowerBoundVarJobFindingProb",148,.0293904
"LowerBoundVarJobFindingProb",149,.0392915
"LowerBoundVarJobFindingProb",150,.0462834
"LowerBoundVarJobFindingProb",151,.032757
"LowerBoundVarJobFindingProb",152,.0265213
"LowerBoundVarJobFindingProb",153,.036423
"LowerBoundVarJobFindingProb",154,.0184068
"LowerBoundVarJobFindingProb",155,.0312175
"LowerBoundVarJobFindingProb",156,.0346
"LowerBoundVarJobFindingProb",157,.0288977
"LowerBoundVarJobFindingProb",158,.0143513
"LowerBoundVarJobFindingProb",159,.0295317
"LowerBoundVarJobFindingProb",160,.0213536
"LowerBoundVarJobFindingProb",161,.0301753
"LowerBoundVarJobFindingProb",162,.0369133
"LowerBoundVarJobFindingProb",163,.0391552
"LowerBoundVarJobFindingProb",164,.0427817
"LowerBoundVarJobFindingProb",165,.0250598
"LowerBoundVarJobFindingProb",166,.0413459
"LowerBoundVarJobFindingProb",167,.035038
"LowerBoundVarJobFindingProb",168,.0298376
"LowerBoundVarJobFindingProb",169,.0184882
"LowerBoundVarJobFindingProb",170,.0275685
"LowerBoundVarJobFindingProb",171,.0321481
"LowerBoundVarJobFindingProb",172,.0272438
"LowerBoundVarJobFindingProb",173,.030943
"LowerBoundVarJobFindingProb",174,.0324837
"LowerBoundVarJobFindingProb",175,.0288989
"LowerBoundVarJobFindingProb",176,.0391952
"LowerBoundVarJobFindingProb",177,.0353483
"LowerBoundVarJobFindingProb",178,.0310108
"LowerBoundVarJobFindingProb",179,.0270364
"LowerBoundVarJobFindingProb",180,.0243422
"LowerBoundVarJobFindingProb",181,.0356863
"LowerBoundVarJobFindingProb",182,.0364883
"LowerBoundVarJobFindingProb",183,.031419
"LowerBoundVarJobFindingProb",184,.046475
"LowerBoundVarJobFindingProb",185,.0166469
"LowerBoundVarJobFindingProb",186,.0389055
"LowerBoundVarJobFindingProb",187,.0244849
"LowerBoundVarJobFindingProb",188,.0291024
"LowerBoundVarJobFindingProb",189,.0298314
"LowerBoundVarJobFindingProb",190,.035198
"LowerBoundVarJobFindingProb",191,.0328878
"LowerBoundVarJobFindingProb",192,.0421621
"LowerBoundVarJobFindingProb",193,.0305003
"LowerBoundVarJobFindingProb",194,.0316426
"LowerBoundVarJobFindingProb",195,.0215904
"LowerBoundVarJobFindingProb",196,.0371066
"LowerBoundVarJobFindingProb",197,.0219517
"LowerBoundVarJobFindingProb",198,.024981
"LowerBoundVarJobFindingProb",199,.0226602
"LowerBoundVarJobFindingProb",200,.0273773
"LowerBoundVarJobFindingProb",201,.0285794
"LowerBoundVarJobFindingProb",202,.0265919
"LowerBoundVarJobFindingProb",203,.0314688
"LowerBoundVarJobFindingProb",204,.0342223
"LowerBoundVarJobFindingProb",205,.0447211
"LowerBoundVarJobFindingProb",206,.0296128
"LowerBoundVarJobFindingProb",207,.0459358
"LowerBoundVarJobFindingProb",208,.0468071
"LowerBoundVarJobFindingProb",209,.0287197
"LowerBoundVarJobFindingProb",210,.0312699
"LowerBoundVarJobFindingProb",211,.0347707
"LowerBoundVarJobFindingProb",212,.0306891
"LowerBoundVarJobFindingProb",213,.0318393
"LowerBoundVarJobFindingProb",214,.029887
"LowerBoundVarJobFindingProb",215,.0410693
"LowerBoundVarJobFindingProb",216,.0200615
"LowerBoundVarJobFindingProb",217,.0448954
"LowerBoundVarJobFindingProb",218,.0334577
"LowerBoundVarJobFindingProb",219,.022073
"LowerBoundVarJobFindingProb",220,.0138359
