object,replicate_number,replicate_value
AmazonStarElasticity,1,0.65665686
AmazonStarElasticity,2,0.65312511
AmazonStarElasticity,3,0.55393714
AmazonStarElasticity,4,0.52257085
AmazonStarElasticity,5,0.70236212
AmazonStarElasticity,6,0.59368145
AmazonStarElasticity,7,0.65261513
AmazonStarElasticity,8,0.59475082
AmazonStarElasticity,9,0.66246974
AmazonStarElasticity,10,0.64458382
AmazonStarElasticity,11,0.52585101
AmazonStarElasticity,12,0.69494265
AmazonStarElasticity,13,0.50342643
AmazonStarElasticity,14,0.77438402
AmazonStarElasticity,15,0.58899826
AmazonStarElasticity,16,0.63036549
AmazonStarElasticity,17,0.65295565
AmazonStarElasticity,18,0.88571513
AmazonStarElasticity,19,0.73078203
AmazonStarElasticity,20,0.63630104
AmazonStarElasticity,21,0.60288429
AmazonStarElasticity,22,0.77075857
AmazonStarElasticity,23,0.54216635
AmazonStarElasticity,24,0.63385189
AmazonStarElasticity,25,0.57946813
AmazonStarElasticity,26,0.59021807
AmazonStarElasticity,27,0.57808673
AmazonStarElasticity,28,0.59093314
AmazonStarElasticity,29,0.59233391
AmazonStarElasticity,30,0.56157607
AmazonStarElasticity,31,0.71027523
AmazonStarElasticity,32,0.62272775
AmazonStarElasticity,33,0.70125294
AmazonStarElasticity,34,0.56884432
AmazonStarElasticity,35,0.63102269
AmazonStarElasticity,36,0.62088233
AmazonStarElasticity,37,0.64742088
AmazonStarElasticity,38,0.64724791
AmazonStarElasticity,39,0.7401545
AmazonStarElasticity,40,0.70333195
AmazonStarElasticity,41,0.63005608
AmazonStarElasticity,42,0.57341903
AmazonStarElasticity,43,0.63850462
AmazonStarElasticity,44,0.65256912
AmazonStarElasticity,45,0.6590389
AmazonStarElasticity,46,0.73695982
AmazonStarElasticity,47,0.61326528
AmazonStarElasticity,48,0.53556353
AmazonStarElasticity,49,0.62503654
AmazonStarElasticity,50,0.62997621
AmazonStarElasticity,51,0.84793007
AmazonStarElasticity,52,0.65160745
AmazonStarElasticity,53,0.52620459
AmazonStarElasticity,54,0.51914561
AmazonStarElasticity,55,0.86928898
AmazonStarElasticity,56,0.68653607
AmazonStarElasticity,57,0.55183834
AmazonStarElasticity,58,0.66220224
AmazonStarElasticity,59,0.53763473
AmazonStarElasticity,60,0.5753144
AmazonStarElasticity,61,0.5781852
AmazonStarElasticity,62,0.58350956
AmazonStarElasticity,63,0.62285179
AmazonStarElasticity,64,0.67522407
AmazonStarElasticity,65,0.5722248
AmazonStarElasticity,66,0.50394583
AmazonStarElasticity,67,0.62670404
AmazonStarElasticity,68,0.83367789
AmazonStarElasticity,69,0.81663805
AmazonStarElasticity,70,0.59608251
AmazonStarElasticity,71,0.72494733
AmazonStarElasticity,72,0.62538284
AmazonStarElasticity,73,0.57853425
AmazonStarElasticity,74,0.72532511
AmazonStarElasticity,75,0.70247316
AmazonStarElasticity,76,0.49789354
AmazonStarElasticity,77,0.51997101
AmazonStarElasticity,78,0.55827528
AmazonStarElasticity,79,0.68561548
AmazonStarElasticity,80,0.53964287
AmazonStarElasticity,81,0.55294222
AmazonStarElasticity,82,0.73668063
AmazonStarElasticity,83,0.63340902
AmazonStarElasticity,84,0.62028384
AmazonStarElasticity,85,0.60726845
AmazonStarElasticity,86,0.58361846
AmazonStarElasticity,87,0.57285255
AmazonStarElasticity,88,0.68970847
AmazonStarElasticity,89,0.55499619
AmazonStarElasticity,90,0.61738241
AmazonStarElasticity,91,0.59607404
AmazonStarElasticity,92,0.56216115
AmazonStarElasticity,93,0.58149213
AmazonStarElasticity,94,0.67459393
AmazonStarElasticity,95,0.63002008
AmazonStarElasticity,96,0.58423835
AmazonStarElasticity,97,0.62433887
AmazonStarElasticity,98,0.90281409
AmazonStarElasticity,99,0.68774664
AmazonStarElasticity,100,0.55896014
AmazonStarElasticity,101,0.67130786
AmazonStarElasticity,102,0.69219804
AmazonStarElasticity,103,0.56471527
AmazonStarElasticity,104,0.55909336
AmazonStarElasticity,105,0.56735206
AmazonStarElasticity,106,0.60881269
AmazonStarElasticity,107,0.68061697
AmazonStarElasticity,108,0.66786462
AmazonStarElasticity,109,0.64290935
AmazonStarElasticity,110,0.62163931
AmazonStarElasticity,111,0.66739017
AmazonStarElasticity,112,0.79418802
AmazonStarElasticity,113,0.66016322
AmazonStarElasticity,114,0.56907809
AmazonStarElasticity,115,0.6105535
AmazonStarElasticity,116,0.68895733
AmazonStarElasticity,117,0.72372001
AmazonStarElasticity,118,0.68305391
AmazonStarElasticity,119,0.64969891
AmazonStarElasticity,120,0.71486408
AmazonStarElasticity,121,0.6274901
AmazonStarElasticity,122,0.59195721
AmazonStarElasticity,123,0.52925128
AmazonStarElasticity,124,0.67829835
AmazonStarElasticity,125,0.58844298
AmazonStarElasticity,126,0.60314673
AmazonStarElasticity,127,0.61114025
AmazonStarElasticity,128,0.75727791
AmazonStarElasticity,129,0.63671952
AmazonStarElasticity,130,0.62886244
AmazonStarElasticity,131,0.58821952
AmazonStarElasticity,132,0.53144538
AmazonStarElasticity,133,0.57688618
AmazonStarElasticity,134,0.60513121
AmazonStarElasticity,135,0.59437555
AmazonStarElasticity,136,0.68641329
AmazonStarElasticity,137,0.56566495
AmazonStarElasticity,138,0.77305692
AmazonStarElasticity,139,0.57879961
AmazonStarElasticity,140,0.61537486
AmazonStarElasticity,141,0.95824659
AmazonStarElasticity,142,0.68939632
AmazonStarElasticity,143,0.63259715
AmazonStarElasticity,144,0.5791086
AmazonStarElasticity,145,0.55382228
AmazonStarElasticity,146,0.63541943
AmazonStarElasticity,147,0.60091949
AmazonStarElasticity,148,0.56973517
AmazonStarElasticity,149,0.66107357
AmazonStarElasticity,150,0.54095948
AmazonStarElasticity,151,0.57847279
AmazonStarElasticity,152,0.71918726
AmazonStarElasticity,153,0.68408221
AmazonStarElasticity,154,0.66601604
AmazonStarElasticity,155,0.57348627
AmazonStarElasticity,156,0.58869612
AmazonStarElasticity,157,0.67356437
AmazonStarElasticity,158,0.71885782
AmazonStarElasticity,159,0.74129111
AmazonStarElasticity,160,0.55671841
AmazonStarElasticity,161,0.65226132
AmazonStarElasticity,162,0.67360628
AmazonStarElasticity,163,0.63788521
AmazonStarElasticity,164,0.77543652
AmazonStarElasticity,165,0.60666525
AmazonStarElasticity,166,0.60257298
AmazonStarElasticity,167,0.78517139
AmazonStarElasticity,168,0.56367034
AmazonStarElasticity,169,0.71758354
AmazonStarElasticity,170,0.61831182
AmazonStarElasticity,171,0.68840164
AmazonStarElasticity,172,0.57974362
AmazonStarElasticity,173,0.5724355
AmazonStarElasticity,174,0.59709358
AmazonStarElasticity,175,0.58703166
AmazonStarElasticity,176,0.56595665
