object,replicate_number,replicate_value
"EarlyRetirementAge",1,.0509971
"EarlyRetirementAge",2,.047668
"EarlyRetirementAge",3,.0091212
"EarlyRetirementAge",4,.1343161
"EarlyRetirementAge",5,.0541655
"EarlyRetirementAge",6,.0984798
"EarlyRetirementAge",7,.0758273
"EarlyRetirementAge",8,.0100171
"EarlyRetirementAge",9,.1233481
"EarlyRetirementAge",10,.0651304
"EarlyRetirementAge",11,.0997581
"EarlyRetirementAge",12,.0627418
"EarlyRetirementAge",13,.0417968
"EarlyRetirementAge",14,.0008247
"EarlyRetirementAge",15,.0765498
"EarlyRetirementAge",16,.0208219
"EarlyRetirementAge",17,.0305857
"EarlyRetirementAge",18,.1338053
"EarlyRetirementAge",19,.0657573
"EarlyRetirementAge",20,.0646952
"EarlyRetirementAge",21,.1209635
"EarlyRetirementAge",22,.0912109
"EarlyRetirementAge",23,.05877
"EarlyRetirementAge",24,.0824037
"EarlyRetirementAge",25,.0360294
"EarlyRetirementAge",26,.0827188
"EarlyRetirementAge",27,.1307302
"EarlyRetirementAge",28,.0506687
"EarlyRetirementAge",29,.0197344
"EarlyRetirementAge",30,.0176452
"EarlyRetirementAge",31,.0775387
"EarlyRetirementAge",32,-.0142784
"EarlyRetirementAge",33,.1109629
"EarlyRetirementAge",34,.0667342
"EarlyRetirementAge",35,.0911985
"EarlyRetirementAge",36,.0501572
"EarlyRetirementAge",37,.1378469
"EarlyRetirementAge",38,.055146
"EarlyRetirementAge",39,.0649616
"EarlyRetirementAge",40,.0316347
"EarlyRetirementAge",41,.0464609
"EarlyRetirementAge",42,.0343036
"EarlyRetirementAge",43,.1761066
"EarlyRetirementAge",44,.0366793
"EarlyRetirementAge",45,.0565248
"EarlyRetirementAge",46,.0831494
"EarlyRetirementAge",47,.0675876
"EarlyRetirementAge",48,.114699
"EarlyRetirementAge",49,.096518
"EarlyRetirementAge",50,.0465217
"EarlyRetirementAge",51,.0758706
"EarlyRetirementAge",52,.0392099
"EarlyRetirementAge",53,.0490187
"EarlyRetirementAge",54,.0727493
"EarlyRetirementAge",55,.0907121
"EarlyRetirementAge",56,.0317971
"EarlyRetirementAge",57,.0284523
