object,replicate_number,replicate_value
GvmntAllAppUB,1,0.82301066
GvmntAllAppUB,2,0.91205578
GvmntAllAppUB,3,0.89000198
GvmntAllAppUB,4,0.87771749
GvmntAllAppUB,5,0.92417065
GvmntAllAppUB,6,0.95011685
GvmntAllAppUB,7,0.92143388
GvmntAllAppUB,8,0.86645608
GvmntAllAppUB,9,0.89488825
GvmntAllAppUB,10,0.88320589
GvmntAllAppUB,11,0.92282082
GvmntAllAppUB,12,0.91624139
GvmntAllAppUB,13,0.91118767
GvmntAllAppUB,14,0.87394028
GvmntAllAppUB,15,0.92066308
GvmntAllAppUB,16,0.8937493
GvmntAllAppUB,17,0.90882752
GvmntAllAppUB,18,0.87724831
GvmntAllAppUB,19,0.89769609
GvmntAllAppUB,20,0.92578921
GvmntAllAppUB,21,0.90714676
GvmntAllAppUB,22,0.88991767
GvmntAllAppUB,23,0.87806955
GvmntAllAppUB,24,0.91865042
GvmntAllAppUB,25,0.88164511
GvmntAllAppUB,26,0.94038811
GvmntAllAppUB,27,0.91609643
GvmntAllAppUB,28,0.93404598
GvmntAllAppUB,29,0.86956681
GvmntAllAppUB,30,0.89516571
GvmntAllAppUB,31,0.89450997
GvmntAllAppUB,32,0.88483751
GvmntAllAppUB,33,0.88030838
GvmntAllAppUB,34,0.92675564
GvmntAllAppUB,35,0.89568324
GvmntAllAppUB,36,0.84773304
GvmntAllAppUB,37,0.91665259
GvmntAllAppUB,38,0.90398511
GvmntAllAppUB,39,0.88989185
GvmntAllAppUB,40,0.91458169
GvmntAllAppUB,41,0.88019183
GvmntAllAppUB,42,0.8818827
GvmntAllAppUB,43,0.86563916
GvmntAllAppUB,44,0.83156066
GvmntAllAppUB,45,0.91012409
GvmntAllAppUB,46,0.90705383
GvmntAllAppUB,47,0.89174649
GvmntAllAppUB,48,0.88600095
GvmntAllAppUB,49,0.92391683
GvmntAllAppUB,50,0.89456302
GvmntAllAppUB,51,0.88650011
GvmntAllAppUB,52,0.9093905
GvmntAllAppUB,53,0.92911315
GvmntAllAppUB,54,0.88975223
GvmntAllAppUB,55,0.92597028
GvmntAllAppUB,56,0.90045858
GvmntAllAppUB,57,0.90994797
GvmntAllAppUB,58,0.91082027
GvmntAllAppUB,59,0.92198162
GvmntAllAppUB,60,0.8676433
GvmntAllAppUB,61,0.91130171
GvmntAllAppUB,62,0.91101393
GvmntAllAppUB,63,0.85592047
GvmntAllAppUB,64,0.90191008
GvmntAllAppUB,65,0.90889413
GvmntAllAppUB,66,0.89685842
GvmntAllAppUB,67,0.85299005
GvmntAllAppUB,68,0.9001583
GvmntAllAppUB,69,0.84724854
GvmntAllAppUB,70,0.91690074
GvmntAllAppUB,71,0.93349417
GvmntAllAppUB,72,0.86667031
GvmntAllAppUB,73,0.88918241
GvmntAllAppUB,74,0.91032337
GvmntAllAppUB,75,0.93766824
GvmntAllAppUB,76,0.91606565
GvmntAllAppUB,77,0.88108507
GvmntAllAppUB,78,0.89425028
GvmntAllAppUB,79,0.93261536
GvmntAllAppUB,80,0.92322024
GvmntAllAppUB,81,0.81322412
GvmntAllAppUB,82,0.95141097
GvmntAllAppUB,83,0.90350715
GvmntAllAppUB,84,0.90551405
GvmntAllAppUB,85,0.90968247
GvmntAllAppUB,86,0.90340617
GvmntAllAppUB,87,0.92262052
GvmntAllAppUB,88,0.87908364
GvmntAllAppUB,89,0.9109443
GvmntAllAppUB,90,0.8693339
GvmntAllAppUB,91,0.91184022
GvmntAllAppUB,92,0.85316255
GvmntAllAppUB,93,0.90039142
GvmntAllAppUB,94,0.92941177
GvmntAllAppUB,95,0.87253284
GvmntAllAppUB,96,0.85645755
GvmntAllAppUB,97,0.9247946
GvmntAllAppUB,98,0.89561613
GvmntAllAppUB,99,0.89255429
GvmntAllAppUB,100,0.87101759
GvmntAllAppUB,101,0.91933536
GvmntAllAppUB,102,0.92260587
GvmntAllAppUB,103,0.90159106
GvmntAllAppUB,104,0.84329741
GvmntAllAppUB,105,0.90565857
GvmntAllAppUB,106,0.88184679
GvmntAllAppUB,107,0.89686975
GvmntAllAppUB,108,0.84790036
GvmntAllAppUB,109,0.890188
GvmntAllAppUB,110,0.80800428
GvmntAllAppUB,111,0.92808549
GvmntAllAppUB,112,0.88086043
GvmntAllAppUB,113,0.92834487
GvmntAllAppUB,114,0.88595959
GvmntAllAppUB,115,0.87036535
GvmntAllAppUB,116,0.87958873
GvmntAllAppUB,117,0.90580482
GvmntAllAppUB,118,0.90042643
GvmntAllAppUB,119,0.87318294
GvmntAllAppUB,120,0.88805239
GvmntAllAppUB,121,0.82192381
GvmntAllAppUB,122,0.88729067
GvmntAllAppUB,123,0.94382594
GvmntAllAppUB,124,0.85559374
GvmntAllAppUB,125,0.9191668
GvmntAllAppUB,126,0.87890703
GvmntAllAppUB,127,0.91176981
GvmntAllAppUB,128,0.91453525
GvmntAllAppUB,129,0.88743674
GvmntAllAppUB,130,0.85493737
GvmntAllAppUB,131,0.88450938
GvmntAllAppUB,132,0.85039399
GvmntAllAppUB,133,0.91049206
GvmntAllAppUB,134,0.92381295
GvmntAllAppUB,135,0.87095541
GvmntAllAppUB,136,0.90226327
GvmntAllAppUB,137,0.91134607
GvmntAllAppUB,138,0.94565105
GvmntAllAppUB,139,0.87496205
GvmntAllAppUB,140,0.92244994
GvmntAllAppUB,141,0.89659314
GvmntAllAppUB,142,0.91125124
GvmntAllAppUB,143,0.91534356
GvmntAllAppUB,144,0.92855633
GvmntAllAppUB,145,0.95239757
GvmntAllAppUB,146,0.93078735
GvmntAllAppUB,147,0.8745882
GvmntAllAppUB,148,0.92446405
GvmntAllAppUB,149,0.89682702
GvmntAllAppUB,150,0.90611989
GvmntAllAppUB,151,0.86801387
GvmntAllAppUB,152,0.92873201
GvmntAllAppUB,153,0.87601567
GvmntAllAppUB,154,0.89125303
GvmntAllAppUB,155,0.87950298
GvmntAllAppUB,156,0.90474688
GvmntAllAppUB,157,0.84637114
GvmntAllAppUB,158,0.91811537
GvmntAllAppUB,159,0.85600009
GvmntAllAppUB,160,0.91021301
GvmntAllAppUB,161,0.89117339
GvmntAllAppUB,162,0.86863746
GvmntAllAppUB,163,0.91332579
GvmntAllAppUB,164,0.89140043
GvmntAllAppUB,165,0.87868606
GvmntAllAppUB,166,0.88643359
GvmntAllAppUB,167,0.86764169
GvmntAllAppUB,168,0.91460623
GvmntAllAppUB,169,0.8981134
GvmntAllAppUB,170,0.86203094
GvmntAllAppUB,171,0.91887743
GvmntAllAppUB,172,0.90760273
GvmntAllAppUB,173,0.93039474
GvmntAllAppUB,174,0.87551262
GvmntAllAppUB,175,0.92978283
GvmntAllAppUB,176,0.93418497
GvmntAllAppUB,177,0.90615533
GvmntAllAppUB,178,0.91831511
GvmntAllAppUB,179,0.89298342
GvmntAllAppUB,180,0.84580427
GvmntAllAppUB,181,0.86574754
GvmntAllAppUB,182,0.90227634
GvmntAllAppUB,183,0.86878687
GvmntAllAppUB,184,0.90872748
GvmntAllAppUB,185,0.9280664
GvmntAllAppUB,186,0.89732381
GvmntAllAppUB,187,0.93063608
GvmntAllAppUB,188,0.90244227
GvmntAllAppUB,189,0.93312631
GvmntAllAppUB,190,0.90708504
GvmntAllAppUB,191,0.87382242
GvmntAllAppUB,192,0.82720831
GvmntAllAppUB,193,0.92434784
GvmntAllAppUB,194,0.90436208
GvmntAllAppUB,195,0.8817958
GvmntAllAppUB,196,0.93016774
GvmntAllAppUB,197,0.90806452
GvmntAllAppUB,198,0.88448978
GvmntAllAppUB,199,0.87933179
GvmntAllAppUB,200,0.92467745
GvmntAllAppUB,201,0.90907748
GvmntAllAppUB,202,0.91450614
GvmntAllAppUB,203,0.84046943
GvmntAllAppUB,204,0.91100132
GvmntAllAppUB,205,0.8804663
GvmntAllAppUB,206,0.87543304
GvmntAllAppUB,207,0.93182736
GvmntAllAppUB,208,0.91228207
GvmntAllAppUB,209,0.86429833
GvmntAllAppUB,210,0.90496628
GvmntAllAppUB,211,0.88703028
GvmntAllAppUB,212,0.92297186
GvmntAllAppUB,213,0.88939933
GvmntAllAppUB,214,0.88270175
GvmntAllAppUB,215,0.91384666
GvmntAllAppUB,216,0.93643355
GvmntAllAppUB,217,0.92138264
GvmntAllAppUB,218,0.85483371
GvmntAllAppUB,219,0.9265854
GvmntAllAppUB,220,0.90720278
GvmntAllAppUB,221,0.92684876
GvmntAllAppUB,222,0.88824935
GvmntAllAppUB,223,0.89431288
GvmntAllAppUB,224,0.90614504
GvmntAllAppUB,225,0.89590495
GvmntAllAppUB,226,0.90932198
GvmntAllAppUB,227,0.91623353
GvmntAllAppUB,228,0.93190617
GvmntAllAppUB,229,0.88991622
GvmntAllAppUB,230,0.89995698
GvmntAllAppUB,231,0.89155808
GvmntAllAppUB,232,0.86922843
GvmntAllAppUB,233,0.88076094
GvmntAllAppUB,234,0.93221211
GvmntAllAppUB,235,0.90197062
GvmntAllAppUB,236,0.93135262
GvmntAllAppUB,237,0.90862216
GvmntAllAppUB,238,0.89385606
GvmntAllAppUB,239,0.8891826
GvmntAllAppUB,240,0.90966749
GvmntAllAppUB,241,0.90966708
GvmntAllAppUB,242,0.91636195
GvmntAllAppUB,243,0.90004634
GvmntAllAppUB,244,0.89979144
GvmntAllAppUB,245,0.86821697
GvmntAllAppUB,246,0.85455656
GvmntAllAppUB,247,0.88928472
GvmntAllAppUB,248,0.91163703
GvmntAllAppUB,249,0.90723261
GvmntAllAppUB,250,0.85324745
GvmntAllAppUB,251,0.89739269
GvmntAllAppUB,252,0.87544801
GvmntAllAppUB,253,0.84220654
GvmntAllAppUB,254,0.91991322
GvmntAllAppUB,255,0.85034954
GvmntAllAppUB,256,0.93069171
GvmntAllAppUB,257,0.87768985
GvmntAllAppUB,258,0.88061112
GvmntAllAppUB,259,0.86885592
GvmntAllAppUB,260,0.92332717
GvmntAllAppUB,261,0.8878814
GvmntAllAppUB,262,0.85990209
GvmntAllAppUB,263,0.88654481
GvmntAllAppUB,264,0.93583212
GvmntAllAppUB,265,0.86760825
GvmntAllAppUB,266,0.88152619
GvmntAllAppUB,267,0.90370103
GvmntAllAppUB,268,0.91953107
GvmntAllAppUB,269,0.91011409
GvmntAllAppUB,270,0.85121927
GvmntAllAppUB,271,0.87969236
GvmntAllAppUB,272,0.89188871
GvmntAllAppUB,273,0.89757722
GvmntAllAppUB,274,0.84268381
GvmntAllAppUB,275,0.89851819
GvmntAllAppUB,276,0.86514808
GvmntAllAppUB,277,0.88692043
GvmntAllAppUB,278,0.92351617
GvmntAllAppUB,279,0.90927137
GvmntAllAppUB,280,0.87947523
GvmntAllAppUB,281,0.90813426
GvmntAllAppUB,282,0.87900714
GvmntAllAppUB,283,0.84704949
GvmntAllAppUB,284,0.91522196
GvmntAllAppUB,285,0.90763404
GvmntAllAppUB,286,0.90245697
GvmntAllAppUB,287,0.90119751
GvmntAllAppUB,288,0.94405943
GvmntAllAppUB,289,0.9083772
GvmntAllAppUB,290,0.92940156
GvmntAllAppUB,291,0.90495965
GvmntAllAppUB,292,0.94424045
GvmntAllAppUB,293,0.8953622
GvmntAllAppUB,294,0.88466165
GvmntAllAppUB,295,0.89458431
GvmntAllAppUB,296,0.86995161
GvmntAllAppUB,297,0.87523125
GvmntAllAppUB,298,0.9205812
GvmntAllAppUB,299,0.94147023
GvmntAllAppUB,300,0.88635421
GvmntAllAppUB,301,0.88323761
GvmntAllAppUB,302,0.8916917
GvmntAllAppUB,303,0.85344867
GvmntAllAppUB,304,0.93275075
GvmntAllAppUB,305,0.89560326
GvmntAllAppUB,306,0.90912854
GvmntAllAppUB,307,0.88390511
GvmntAllAppUB,308,0.91966728
GvmntAllAppUB,309,0.91417315
GvmntAllAppUB,310,0.89486318
GvmntAllAppUB,311,0.88954313
GvmntAllAppUB,312,0.84445146
GvmntAllAppUB,313,0.92797938
GvmntAllAppUB,314,0.87638194
GvmntAllAppUB,315,0.92407516
GvmntAllAppUB,316,0.9284073
GvmntAllAppUB,317,0.88628216
GvmntAllAppUB,318,0.89257356
GvmntAllAppUB,319,0.90512984
GvmntAllAppUB,320,0.89838427
GvmntAllAppUB,321,0.92065946
GvmntAllAppUB,322,0.87276549
GvmntAllAppUB,323,0.89580681
GvmntAllAppUB,324,0.92338167
GvmntAllAppUB,325,0.892439
GvmntAllAppUB,326,0.86972754
GvmntAllAppUB,327,0.92117731
GvmntAllAppUB,328,0.9273231
GvmntAllAppUB,329,0.89834786
GvmntAllAppUB,330,0.87478075
GvmntAllAppUB,331,0.95490881
GvmntAllAppUB,332,0.88110422
GvmntAllAppUB,333,0.9229973
GvmntAllAppUB,334,0.87039994
GvmntAllAppUB,335,0.87040649
GvmntAllAppUB,336,0.91061811
GvmntAllAppUB,337,0.90623114
GvmntAllAppUB,338,0.90958737
GvmntAllAppUB,339,0.85496225
GvmntAllAppUB,340,0.88018228
GvmntAllAppUB,341,0.87805523
GvmntAllAppUB,342,0.87284368
GvmntAllAppUB,343,0.91022814
GvmntAllAppUB,344,0.86292296
GvmntAllAppUB,345,0.91691998
GvmntAllAppUB,346,0.8980452
GvmntAllAppUB,347,0.87138604
GvmntAllAppUB,348,0.865719
GvmntAllAppUB,349,0.90502148
GvmntAllAppUB,350,0.92626106
GvmntAllAppUB,351,0.8607046
GvmntAllAppUB,352,0.86353181
GvmntAllAppUB,353,0.82289768
GvmntAllAppUB,354,0.9217861
GvmntAllAppUB,355,0.87929504
GvmntAllAppUB,356,0.90360517
GvmntAllAppUB,357,0.93312713
GvmntAllAppUB,358,0.89630873
GvmntAllAppUB,359,0.89905242
GvmntAllAppUB,360,0.88977028
GvmntAllAppUB,361,0.92207146
GvmntAllAppUB,362,0.94207736
GvmntAllAppUB,363,0.8880446
GvmntAllAppUB,364,0.86849551
GvmntAllAppUB,365,0.89244729
GvmntAllAppUB,366,0.89222274
GvmntAllAppUB,367,0.89884164
GvmntAllAppUB,368,0.92414955
